Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Calleri,C.A. Osasuna,526.990€,104,37,1598,8,2,4,1,18,5,13,46,259,1,35,0,0,0,3,0,1,0,0
Mosquera,SD Huesca,475.741€,103,28,1626,5,2,1,0,13,17,18,53,270,0,20,0,0,0,4,0,0,0,0
Clerc,Levante UD,529.877€,103,30,2052,0,0,1,4,35,10,2,161,208,0,33,0,0,0,1,0,0,0,0
Rubén Duarte,D. Alavés,499.484€,103,37,2776,0,3,6,18,40,34,4,228,497,0,47,0,0,0,5,0,1,0,0
R Araujo,FC Barcelona,563.651€,103,32,2550,1,1,6,41,58,4,2,181,446,0,43,0,0,1,4,1,0,0,0
Battaglia,D. Alavés,10.145.159€,102,30,1508,2,1,0,0,41,9,4,124,97,0,16,0,0,1,3,0,1,0,0
Zubeldia,Real Sociedad,511.364€,102,34,2495,1,0,0,0,38,17,6,167,214,0,46,1,0,0,10,0,0,0,0
Yeray,Athletic Club,512.773€,102,27,1958,1,1,1,3,42,7,4,134,180,0,26,0,0,0,5,0,0,0,0
Sandro,SD Huesca,1.502.410€,101,26,1949,1,0,1,2,69,9,1,180,214,0,26,0,0,0,6,0,0,0,0
Vezo,Levante UD,569.679€,101,23,1293,5,1,0,3,1,19,19,63,172,0,14,0,0,0,2,0,0,0,0
Jose Mari,Cádiz CF,513.467€,101,33,2310,1,0,0,1,94,8,2,181,246,0,34,0,0,1,7,0,0,0,1
Capa,Athletic Club,519.515€,100,24,1457,1,0,1,1,31,16,4,146,185,0,16,0,0,0,5,0,0,0,0
Alcaraz,Real Valladolid,985.730€,99,30,2138,2,1,1,8,43,27,6,145,367,0,27,0,0,1,5,0,0,0,0
Néstor Araújo,RC Celta,549.411€,99,31,2170,1,0,1,5,25,13,3,185,246,0,39,0,0,0,10,0,0,0,0
Iza Carcelén,Cádiz CF,633.258€,99,36,2424,0,0,2,1,86,6,0,172,285,0,39,0,0,0,5,0,0,0,0
Bardhi,Levante UD,493.160€,99,32,2585,0,1,2,15,61,33,3,218,403,0,44,0,0,3,3,0,0,0,0
Oier,C.A. Osasuna,527.785€,99,28,1685,1,2,1,19,12,33,13,141,338,0,29,0,0,0,4,0,0,0,0
Zubimendi,Real Sociedad,501.540€,99,35,2088,0,2,5,5,40,5,5,197,345,0,32,0,0,2,10,0,0,0,0
Nacho Vidal,C.A. Osasuna,593.123€,99,34,1874,0,0,1,1,36,11,1,138,174,0,26,0,0,0,6,0,0,0,0
Lozano,Cádiz CF,503.292€,98,36,2342,0,0,3,10,53,16,2,175,380,0,31,0,0,0,10,0,0,0,0
Giménez,Atlético de Madrid,482.872€,98,32,1525,3,1,1,3,8,27,15,46,229,0,31,0,0,0,5,0,0,0,0
Nyom,Getafe CF,13.025.338€,98,25,1766,0,0,0,0,62,1,5,101,159,0,13,0,0,0,5,0,0,0,0
Bruno,Real Valladolid,533.582€,98,34,2332,0,2,3,24,34,11,2,144,398,0,27,1,0,0,10,0,0,0,0
Lee KangIn,Valencia CF,513.491€,98,36,2261,1,0,0,0,108,3,2,137,204,0,34,0,0,0,8,0,0,0,0
Unai López,Athletic Club,555.948€,97,35,1266,0,4,2,6,0,35,7,60,168,0,17,0,0,0,1,0,0,0,0
Thierry Correia,Valencia CF,547.758€,96,35,1424,3,0,2,9,7,15,10,116,214,0,18,0,0,0,7,0,0,0,1
Maffeo,SD Huesca,577.025€,96,35,2231,1,1,2,13,55,26,3,171,404,0,31,0,0,0,4,1,0,0,0
